name,URI,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,artist_info,artist_name,artist_pop,album,track_pop,playlistname,mood,language,category,dc0,dc1,dc2,dc3
Bikhri Bikhri,spotify:track:12Q2I7K7Ifbf7O5hSz80Pp,0.537,0.485,3,-8.19,0.0275,0.74,3.84e-05,0.131,0.292,79.988,281973,"{'external_urls': {'spotify': 'https://open.spotify.com/artist/1bTROl5p3rGTpvKeWnGgrw'}, 'followers': {'href': None, 'total': 563299}, 'genres': ['classic bollywood', 'desi pop', 'filmi', 'modern bollywood'], 'href': 'https://api.spotify.com/v1/artists/1bTROl5p3rGTpvKeWnGgrw', 'id': '1bTROl5p3rGTpvKeWnGgrw', 'images': [{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5ebf95f20e92773879f369eae52', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab67616100005174f95f20e92773879f369eae52', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f178f95f20e92773879f369eae52', 'width': 160}], 'name': 'Sohail Sen', 'popularity': 56, 'type': 'artist', 'uri': 'spotify:artist:1bTROl5p3rGTpvKeWnGgrw'}",Sohail Sen,56,What's Your Rashee? (Original Motion Picture Soundtrack),29,Bollywood Romantic Songs,Romance,hi,1,55.22079579088309,6.847485507441315,29.8481816988541,91.5458137782887
Pyaari Pyaari,spotify:track:1xj1GSbgW8LxBNsnNMhfGo,0.56,0.587,1,-7.757,0.0374,0.557,0.000541,0.271,0.348,159.873,287133,"{'external_urls': {'spotify': 'https://open.spotify.com/artist/1bTROl5p3rGTpvKeWnGgrw'}, 'followers': {'href': None, 'total': 563299}, 'genres': ['classic bollywood', 'desi pop', 'filmi', 'modern bollywood'], 'href': 'https://api.spotify.com/v1/artists/1bTROl5p3rGTpvKeWnGgrw', 'id': '1bTROl5p3rGTpvKeWnGgrw', 'images': [{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5ebf95f20e92773879f369eae52', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab67616100005174f95f20e92773879f369eae52', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f178f95f20e92773879f369eae52', 'width': 160}], 'name': 'Sohail Sen', 'popularity': 56, 'type': 'artist', 'uri': 'spotify:artist:1bTROl5p3rGTpvKeWnGgrw'}",Sohail Sen,56,What's Your Rashee? (Original Motion Picture Soundtrack),19,Bollywood Romantic Songs,Romance,hi,3,24.690498252067428,73.0991837963421,50.090506626322416,11.673547806304736
"Ek Din Teri Raahon (From ""Naqaab"")",spotify:track:551NcbvvOAIEmB8nQ5RMp9,0.602,0.867,2,-4.745,0.113,0.228,1.04e-05,0.0806,0.702,91.991,292000,"{'external_urls': {'spotify': 'https://open.spotify.com/artist/4W91bbPB2CTSsHwt7eqNl7'}, 'followers': {'href': None, 'total': 4365707}, 'genres': ['desi pop', 'filmi', 'modern bollywood', 'sufi'], 'href': 'https://api.spotify.com/v1/artists/4W91bbPB2CTSsHwt7eqNl7', 'id': '4W91bbPB2CTSsHwt7eqNl7', 'images': [{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5eb9327a492ed915d521248aefa', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab676161000051749327a492ed915d521248aefa', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f1789327a492ed915d521248aefa', 'width': 160}], 'name': 'Javed Ali', 'popularity': 67, 'type': 'artist', 'uri': 'spotify:artist:4W91bbPB2CTSsHwt7eqNl7'}",Javed Ali,67,Naqaab (Original Motion Picture Soundtrack),0,Bollywood Romantic Songs,Romance,hi,1,43.26615244526044,5.855343040488568,17.915116438503716,79.5718371121278
Teri Ore,spotify:track:1fJbtIqkdBsmecBQee4sX8,0.558,0.754,2,-5.586,0.0681,0.157,0.0,0.138,0.672,83.984,336452,"{'external_urls': {'spotify': 'https://open.spotify.com/artist/3OLGltG8UPIea8sA4w0yg0'}, 'followers': {'href': None, 'total': 9521681}, 'genres': ['classic pakistani pop', 'filmi', 'modern bollywood', 'qawwali', 'sufi'], 'href': 'https://api.spotify.com/v1/artists/3OLGltG8UPIea8sA4w0yg0', 'id': '3OLGltG8UPIea8sA4w0yg0', 'images': [{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5ebac45eaf028dc58810df0f382', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab67616100005174ac45eaf028dc58810df0f382', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f178ac45eaf028dc58810df0f382', 'width': 160}], 'name': 'Rahat Fateh Ali Khan', 'popularity': 67, 'type': 'artist', 'uri': 'spotify:artist:3OLGltG8UPIea8sA4w0yg0'}",Rahat Fateh Ali Khan,67,Snoop Dogg Feat. The Panjabi Stars from Bollywood,0,Bollywood Romantic Songs,Romance,hi,1,51.23237070688426,3.3363181353967297,25.836998060334828,87.55661420993835
Labon Ko Labon Se,spotify:track:1zO91fEiXgK3EGoVkGvvtd,0.629,0.812,9,-5.849,0.0399,0.467,4.25e-06,0.358,0.418,107.903,346067,"{'external_urls': {'spotify': 'https://open.spotify.com/artist/2bfyLSCw72lQ5qoD8cdVBB'}, 'followers': {'href': None, 'total': 134127}, 'genres': ['tollywood'], 'href': 'https://api.spotify.com/v1/artists/2bfyLSCw72lQ5qoD8cdVBB', 'id': '2bfyLSCw72lQ5qoD8cdVBB', 'images': [{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5eb9bb41a7fd48e078db3b14324', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab676161000051749bb41a7fd48e078db3b14324', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f1789bb41a7fd48e078db3b14324', 'width': 160}], 'name': 'Sreerama Chandra', 'popularity': 49, 'type': 'artist', 'uri': 'spotify:artist:2bfyLSCw72lQ5qoD8cdVBB'}",Sreerama Chandra,49,Rehnuma,0,Bollywood Romantic Songs,Romance,hi,2,27.319184607695643,21.184446965340126,2.1003854430245266,63.6367779481123
"Is This Love (From ""Kismat Konnection"")",spotify:track:0fNgHznZYKg7AJMFDbpJTG,0.607,0.826,7,-5.858,0.0355,0.531,1.32e-06,0.553,0.674,119.984,325430,"{'external_urls': {'spotify': 'https://open.spotify.com/artist/5GnnSrwNCGyfAU4zuIytiS'}, 'followers': {'href': None, 'total': 5051591}, 'genres': ['desi pop', 'filmi', 'modern bollywood'], 'href': 'https://api.spotify.com/v1/artists/5GnnSrwNCGyfAU4zuIytiS', 'id': '5GnnSrwNCGyfAU4zuIytiS', 'images': [{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5eb16691117e2ba803946b203ba', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab6761610000517416691117e2ba803946b203ba', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f17816691117e2ba803946b203ba', 'width': 160}], 'name': 'Mohit Chauhan', 'popularity': 69, 'type': 'artist', 'uri': 'spotify:artist:5GnnSrwNCGyfAU4zuIytiS'}",Mohit Chauhan,69,Yun Pyaar Kar... (Valentine Special),0,Bollywood Romantic Songs,Romance,hi,2,15.25952130517609,33.244800919137504,10.22969251277968,51.558786593483866
Bakhuda Tumhi Ho,spotify:track:0aviOEUYHCNDLRYrc5AgZU,0.317,0.69,2,-5.029,0.0386,0.673,0.0,0.138,0.507,126.903,292545,"{'external_urls': {'spotify': 'https://open.spotify.com/artist/2oSONSC9zQ4UonDKnLqksx'}, 'followers': {'href': None, 'total': 8389072}, 'genres': ['classic pakistani pop', 'desi pop', 'filmi', 'modern bollywood', 'sufi'], 'href': 'https://api.spotify.com/v1/artists/2oSONSC9zQ4UonDKnLqksx', 'id': '2oSONSC9zQ4UonDKnLqksx', 'images': [{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5ebc40600e02356cc86f0debe84', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab67616100005174c40600e02356cc86f0debe84', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f178c40600e02356cc86f0debe84', 'width': 160}], 'name': 'Atif Aslam', 'popularity': 72, 'type': 'artist', 'uri': 'spotify:artist:2oSONSC9zQ4UonDKnLqksx'}",Atif Aslam,72,Best of Atif Aslam,0,Bollywood Romantic Songs,Romance,hi,0,8.547275007471635,40.19830735581356,17.200258587191048,44.674108064152705
Aalam Guzarne Ko,spotify:track:3PqFdU8jwJVXXxFjfARBBc,0.769,0.647,9,-4.256,0.0309,0.485,2.33e-05,0.185,0.848,122.993,280920,"{'external_urls': {'spotify': 'https://open.spotify.com/artist/1UBoq6cPh1AbhkmXvlpvjy'}, 'followers': {'href': None, 'total': 14}, 'genres': [], 'href': 'https://api.spotify.com/v1/artists/1UBoq6cPh1AbhkmXvlpvjy', 'id': '1UBoq6cPh1AbhkmXvlpvjy', 'images': [], 'name': 'Sonu Nigam & Suzy Q', 'popularity': 0, 'type': 'artist', 'uri': 'spotify:artist:1UBoq6cPh1AbhkmXvlpvjy'}",Sonu Nigam & Suzy Q,0,Kal Kisne Dekha,0,Bollywood Romantic Songs,Romance,hi,0,12.521906824733255,36.354172622977146,13.43057375944872,48.619887940850795
Tere Bina Lagta Nahin Jiya,spotify:track:0kh6nidIaFlg3RgQ4oKIxz,0.469,0.811,9,-5.461,0.0875,0.391,0.0,0.289,0.608,166.0,281253,"{'external_urls': {'spotify': 'https://open.spotify.com/artist/6f5kUMXGROFtdAtxXZwing'}, 'followers': {'href': None, 'total': 595931}, 'genres': ['desi pop', 'filmi', 'modern bollywood'], 'href': 'https://api.spotify.com/v1/artists/6f5kUMXGROFtdAtxXZwing', 'id': '6f5kUMXGROFtdAtxXZwing', 'images': [{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273c80ac5a3b333bdf609ec2c32', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e02c80ac5a3b333bdf609ec2c32', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d00004851c80ac5a3b333bdf609ec2c32', 'width': 64}], 'name': 'Wajid', 'popularity': 49, 'type': 'artist', 'uri': 'spotify:artist:6f5kUMXGROFtdAtxXZwing'}",Wajid,49,Kal Kisne Dekha,0,Bollywood Romantic Songs,Romance,hi,3,30.8473253534975,79.24848319710239,56.220267909569515,5.774829078112202
"Tujh Mein Rab Dikhta Hai (From ""Rab Ne Bana Di Jodi"")",spotify:track:5PsFJSBA8q142DtKT0eJ8Z,0.56,0.604,8,-8.732,0.0866,0.315,1.12e-06,0.176,0.75,84.784,281574,"{'external_urls': {'spotify': 'https://open.spotify.com/artist/6ohaQzKaXrobAL8paLSaxq'}, 'followers': {'href': None, 'total': 1203640}, 'genres': ['desi pop', 'filmi', 'indian folk', 'modern bollywood'], 'href': 'https://api.spotify.com/v1/artists/6ohaQzKaXrobAL8paLSaxq', 'id': '6ohaQzKaXrobAL8paLSaxq', 'images': [{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5eb13a6f2195deea1f736d046e4', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab6761610000517413a6f2195deea1f736d046e4', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f17813a6f2195deea1f736d046e4', 'width': 160}], 'name': 'Salim–Sulaiman', 'popularity': 59, 'type': 'artist', 'uri': 'spotify:artist:6ohaQzKaXrobAL8paLSaxq'}",Salim–Sulaiman,59,Flavours Of Romance-Valentine's Day Vol. 2,0,Bollywood Romantic Songs,Romance,hi,1,50.439147530347995,2.421707997941557,25.092306735540223,86.75772029672207
